word,sent
baby killer,"['ariel', 'befriends', 'an', 'orphan', 'merman', 'who', 'steals', 'to', 'survive', 'a', 'deaf', 'mermaid', 'who', 'dreams', 'of', 'singing', 'like', 'ariel', 'a', 'sea', 'monster', 'with', 'no', 'friends', 'a', 'wizard', 'fish', 'who', 'is', 'harassed', 'by', 'the', 'rest', 'of', 'his', 'kind', 'a', 'baby', 'killer', 'whale', 'and', 'many', 'others']"
hearing aid,"['she', 'wears', 'a', 'hearing', 'aid', 'in', 'her', 'right', 'ear', 'due', 'to', 'moderate', 'hearing', 'loss']"
devry,"['devry', 'university', 'big', 'data', 'and', 'analytics', 'bachelors', 'online', '/', 'on', 'campus']"
hearing aid,"['covid', '19', 'and', 'hearing', 'evaluation', 'hearing', 'aid', 'fitting']"
hearing aid,"['the', 'hearing', 'aid', 'museum']"
hearing aid,"['the', 'hearing', 'aid', 'museum', 'is', 'a', 'unique', 'on', 'line', 'collection', 'of', 'antique', 'hearing', 'aids', 'and', 'related', 'devices']"
hearing aid,"['covid', '19', 'and', 'hearing', 'evaluation', 'hearing', 'aid', 'fitting']"
hearing aid,"['hearing', 'aid', 'care']"
hearing aid,"['hearing', 'aid', 'dispensing']"
hearing aid,"['hearing', 'aid', 'care']"
hearing aid,"['hearing', 'aid', 'dispensing']"
hearing aid,"['hearing', 'aid', 'dispensing']"
lace curtain,"['12m', 'crystal', 'ball', 'tassel', 'lace', 'curtain', 'trimmings', 'fringes', 'hanging', 'trim', 'sofa', 'curtains', 'accessories', 'decor', 'curtain', 'decorative', 'accessories']"
hearing aid,"['other', 'application', 'areas', 'include', 'hearing', 'aid', 'shells', 'custom', 'dentistry', 'e']"
hearing aid,"['though', 'the', 'technology', 'is', 'garnering', 'interest', 'among', 'healthcare', 'professionals', 'and', 'is', 'widely', 'used', 'in', 'dentistry', 'hearing', 'aid', 'shell', 'manufacturing', 'and', 'pre', 'surgery', 'models', 'its', 'adoption', 'for', 'treatment', 'faces', 'barriers', 'including', 'the', 'high', 'cost', 'of', '3d', 'printers', 'which', 'run', 'from', 'several', 'hundred', 'thousand', 'to', 'a', 'few', 'million', 'dollars', 'hefty', 'mark', 'ups', 'for', 'certain', 'raw', 'materials', 'such', 'as', 'those', 'used', 'for', 'making', 'implants', 'which', 'can', 'cost', 'more', 'than', 'the', 'materials', 'used', 'for', 'traditional', 'manufacturing', 'unease', 'over', 'the', 'quality', 'and', 'reliability', 'of', '3d', 'printed', 'products', 'in', 'the', 'absence', 'of', 'standards', 'and', 'experience', 'with', 'the', 'technology', 'and', 'partial', 'or', 'no', 'reimbursement', 'for', '3d', 'printed', 'implants', 'and', 'other', 'devices']"
devry,"['being', 'dariush', 'dark', 'ages', 'dark', 'internet', 'dark', 'ops', 'dark', 'web', 'darkness', 'darkness', 'light', 'and', 'darkness', 'inside', 'darling', 'i', 'm', 'not', 'uncivilized', 'dart', 'surname', 'darvis', 'dashing', 'data', 'star', 'trek', 'character', 'database', 'codis', 'database', 'rare', 'blood', 'date', 'aram', 's', 'perfect', 'daughter', 'dembe', 's', 'daughters', 'dave', 'sternberg', 'davenport', 'academy', 'high', 'school', 'david', 'david', 'beckner', 'david', 'eckhart', 'david', 'flynn', 'david', 'foy', 'david', 'levine', 'david', 'quentin', 'davies', 'davis', 'davis', 'and', 'fox', 'entertainment', 'davos', 'dawn', 'dawson', 'day', 'that', 'you', 'were', 'born', 'i', 'was', 'also', 'born', 'de', 'la', 'cruz', 'dea', 'dea', 'officer', 'dead', 'drop', 'dead', 'man', 'picture', 'of', 'a', 'dead', 'man', 'walking', 'dead', 'not', 'alive', 'dead', '?', 'gone', 'dead', '?', 'pishposh', 'deafness', 'deal', 'with', 'the', 'devil', 'dealbreaker', 'dealership', 'used', 'car', 'dean', 'forest', 'of', 'dear', 'trouble', 'death', 'death', 'angel', 'of', 'death', 'circle', 'of', 'death', 'fear', 'of', 'death', 'no', 'more', 'cheating', 'death', 'perfect', 'circle', 'of', 'death', 'playing', 'chess', 'with', 'death', 'smell', 'it', 'in', 'the', 'air', 'death', 'and', 'decay', 'study', 'of', 'death', 'as', 'entertainment', 'death', 'challenge', 'death', 'crouching', 'toward', 'me', 'death', 'faked', 'death', 'faked', 'katarina', 'death', 'is', 'a', 'process', 'death', 'must', 'be', 'so', 'beautiful', 'death', 'of', 'me', 'you', 're', 'gonna', 'be', 'the', 'death', 'of', 'red', 's', 'ex', 'story', 'of', 'death', 'of', 'tom', 'death', 'penalty', 'death', 'penalty', 'red', 'faces', 'death', 'penalty', 'for', 'reddington', 'death', 'row', 'death', 'sentence', 'death', 'spectacle', 'death', 'warrant', 'death', 'with', 'a', 'purpose', 'deavers', 'debate', 'debate', 'presidential', 'debauchery', 'debt', 'debt', 'gambling', 'debt', 'here', 'to', 'collect', 'my', 'debt', 'collector', 'dec', '7', '1990', 'decadence', 'decadence', 'of', 'wealthy', 'decadent', 'misanthropes', 'decapitate', 'decapitating', 'heads', 'of', 'state', 'decapitation', 'decembrist', 'decency', 'and', 'fairness', 'canons', 'of', 'deck', 'skydeck', 'declaration', 'of', 'human', 'rights', 'decomposed', 'corpse', 'decomposition', 'study', 'of', 'decryption', 'decryption', 'denver', 'colorado', 'deep', 'state', 'deep', 'fried', 'butter', 'deep', 'fried', 'butter', 'like', 'i', 'am', 'unhealthy', 'and', 'yet', 'irresistible', 'deepest', 'desire', 'deepfake', 'deer', 'hunter', 'defaced', 'firearm', 'defective', 'merchandise', 'defense', 'attorney', 'defense', 'contractor', 'defiance', 'defibrillator', 'defuse', 'bomb', 'deidre', 'mori', 'dekker', 'delaine', 'uhlman', 'delancey', 'street', 'station', 'delayed', 'honesty', 'della', 'whitmore', 'delmar', 's', 'delores', 'delusions', 'fiction', 'demands', 'demarco', 'dembe', 'dembe', 'aram', 's', 'role', 'model', 'dembe', 'determined', 'to', 'save', 'my', 'red', 's', 'soul', 'dembe', 'backstory', 'dembe', 'beaten', 'dembe', 'befriends', 'mila', 'dembe', 'captured', 'dembe', 'death', 'false', 'dembe', 'ex', 'machina', 'dembe', 'goes', 'missing', 'dembe', 'guards', 'my', 'life', 'because', 'he', 's', 'determined', 'to', 'save', 'my', 'soul', 'dembe', 'injured', 'dembe', 'innocent', 'dembe', 'is', 'gone', 'dembe', 'kidnaps', 'aram', 'dembe', 'knows', 'everything', 'dembe', 'leaves', 'red', 'dembe', 'light', 'in', 'the', 'darkness', 'dembe', 'missing', 'dembe', 'prays', 'dembe', 'released', 'dembe', 'returns', 'dembe', 'saved', 'my', 'life', 'that', 'night', 'dembe', 'saves', 'red', 'dembe', 'secret', 'keeper', 'dembe', 'shot', 'by', 'hunter', 'dembe', 'spiritual', 'counselor', 'dembe', 'tells', 'liz', 'red', 'killed', 'kate', 'dembe', 'traces', '911', 'call', 'to', 'liz', 'dembe', 'undercover', 'dembe', 'zuma', 'dembe', 'zuma', 'episode', 'dembe', 'zuma', 'title', 'dembe', 's', 'always', 'saved', 'my', 'life', 'dembe', 's', 'daughter', 'dembe', 's', 'retreat', 'dementia', 'democracy', 'demons', 'denise', 'young', 'denisov', 'denner', 'dennis', 'edwards', 'dennison', 'denora', 'mejia', 'dental', 'work', 'transmitter', 'in', 'dentistry', 'denver', 'co', 'denver', 'map', 'denver', 'mint', 'deodorized', 'body', 'odor', 'deposit', 'box', 'deposition', 'depth', 'perception', 'will', 'never', 'be', 'the', 'same', 'deputy', 'dawg', 'dereamer', 'des', 'foy', 'desai', 'desalination', 'process', 'descent', 'into', 'madness', 'deserves', 'to', 'know', 'the', 'truth', 'desperate', 'thing', 'to', 'say', 'detective', 'bell', 'detective', 'elijah', 'bell', 'detective', 'farwell', 'detective', 'singleton', 'detective', 'singleton', 'killed', 'detective', 'singleton', 'working', 'with', 'ian', 'garvey', 'detention', 'pre', 'trial', 'detonate', 'deus', 'ex', 'machina', 'devane', 'devastatingly', 'handsome', 'devil', 'devil', 'deal', 'with', 'the', 'devil', 'isn', 't', 'finished', 'devil', 'on', 'one', 'shoulder', 'i', 'm', 'the', 'and', 'you', 're', 'the', 'angel', 'on', 'her', 'other', 'devils', 'tower', 'devin', 'walker', 'devlin', 'devoted', 'half', 'his', 'life', 'to', 'me', 'devry', 'dewan', 'dgsi', 'dhs', 'dhs', 'vs', 'fbi', 'diabetes', 'dialysis', 'diamond', 'diamond', 'dresden', 'green', 'diamond', 'necklace', 'diamonds', 'diamonds', 'of', 'tomorrow', 'diane', 'fowler', 'diane', 'fowler', 'murder', 'investigation', 'diane', 'fowler', 'murder', 're', 'enactment', 'diane', 'fowler', 'shot', 're', 'enactment', 'diary', 'diary', 'katarina', 's', 'diaz', 'diaz', 'miriam', 'shot', 'dice', 'loaded', 'dick', 'kendal', 'dickens', 'did', 'i', 'say', 'sex', '?', 'sex', 'die', 'offs', 'insect', 'died', '30', 'years', 'ago', 'diff', 'rent', 'drum', 'dig', 'the', 'bow', 'tie', 'digby', 'tamerlane', 'digging', 'for', 'treasure', 'digging', 'up', 'graves', 'digital', 'translator', 'dim', 'sum', 'liz', 'loved', 'dime', 'mercury', 'dime', 'wing', 'd', 'liberty', 'dimpled', 'mallet', 'diner', 'ding', 'dong', 'ditch', 'dining', 'in', 'the', 'dark', 'dinosaur', 'stuffed', 'dionne', 'diorama', 'diplomatic', 'badge', 'diplomatic', 'cables', 'diplomatic', 'pouch', 'diplomatic', 'security', 'diplomatic', 'security', 'service', 'dipsomaniac', 'direct', 'democracy', 'direction', 'g', 'n', 'rale', 'de', 'la', 's', 'curit', 'int', 'rieure', 'dgsi', 'director', 'director', '2', 'director', 'abducted', 'director', 'killed', 'director', 'of', 'national', 'intelligence', 'director', 'pt', '2', 'dirty', 'cop', 'dirty', 'little', 'war', 'dirty', 'rat', 'disability', 'disappearance', 'disarm', 'bomb', 'disbarred', 'discipline', 'not', 'faith', 'disease', 'kidney', 'disease', 'mental', 'disease', 'weaponized', 'disease', 'passed', 'from', 'father', 'to', 'son', 'disease', 'resistant', 'crops', 'disgraced', 'disguise', 'disguises', 'dishonesty', 'dishonorable', 'discharge', 'disinfectant', 'disinformation', 'disinter', 'disinterment', 'dismemberment', 'disrespect', 'dissociative', 'personality', 'disorder', 'dissolve', 'bodies', 'disturbed', 'divided', 'loyalties', 'diving', 'for', 'quarters', 'divorce', 'agreement', 'dixon', 'djinn', 'dmv', 'dna', 'dna', 'evidence', 'dna', 'matching', 'dna', 'paternity', 'report', 'svr', 'kirk', 'is', 'liz', 's', 'father', 'dna', 'report', 'dna', 'research', 'dna', 'results', 'dna', 'sequencing', 'dna', 'test', 'dna', 'test', 'bethesda', 'dna', 'test', 'liz', 'is', 'red', 's', 'daughter', 'per', 'dna', 'test', 'red', 'is', 'liz', 's', 'father', 'per', 'dna', 'test', 'altered', 'kirk', 'claims', 'dni', 'do', 'i', 'dare', 'to', 'eat', 'a', 'peach', '?', 'do', 'not', 'go', 'gentle', 'into', 'that', 'good', 'night', 'do', 'you', 'like', 'bunny', 'rabbits', '?', 'do', 'you', 'love', 'him', '?', 'do', 'you', 'trust', 'him', 'with', 'your', 'life', '?', 'do', 'you', 'want', 'to', 'suffocate', 'or', 'have', 'a', 'heart', 'attack', '?', 'dobbs', 'docent', 'doctor', 'has', 'been', 'baptized', 'doctor', 'held', 'captive', 'doctored', 'video', 'doctors', 'without', 'morals', 'document', 'is', 'all', 'that', 'matters', 'doe', 'jane', 'does', 'an', 'opossum', 'have', '13', 'nipples', '?', 'dog', 'dog', 'duke', 'dog', 'kate', 'dog', 'red', 'kisses', 'dog', 'sam', 's', 'dog', 'stuffed', 'dog', 'grooming', 'dog', 'house', 'or', 'white', 'house', 'dog', 'tags', 'dog', 'with', 'tracking', 'chip', 'doggie', 'day', 'care', 'doghouse', 'dogs', 'dogs', 'of', 'war', 'doj', 'doll', 'doll', 'brown', 'haired', 'doll', 'upside', 'down', 'doll', 'melting', 'doll']"
devry,"['he', 'will', 'kill', 'you', 'if', 'you', 'don', 't', 'get', 'away', 'car', 'wedding', 'get', 'out', 'of', 'jail', 'free', 'card', 'getting', 'hitched', 'getting', 'through', 'airport', 'security', 'ghaffari', 'ghazi', 'safar', 'ghost', 'ghost', 'life', 's', 'full', 'of', 'them', 'ghost', 'like', 'he', 'd', 'seen', 'a', 'ghost', 'brides', 'ghost', 'of', 'tom', 'ghost', 'squad', 'ghost', 'stories', 'ghost', 'story', 'ghost', 'whisperer', 'ghouls', 'giant', 'in', 'a', 'bear', 'costume', 'giant', 'penis', 'launching', 'off', 'from', 'earth', 'giaochino', 'rossini', 'gibberish', 'gideon', 'uss', 'gift', 'parting', 'gilding', 'the', 'lily', 'gillette', 'gilroy', 'gin', 'and', 'tonic', 'gina', 'kills', 'the', 'major', 'gina', 'zanetakos', 'ginger', 'lumiere', 'giovanni', 'girl', 'girl', 'in', 'a', 'cabin', 'with', 'a', 'gun', 'and', 'a', 'dog', 'girl', 'is', 'your', 'only', 'option', 'girlfriend', 'girlfriend', 'i', 'paid', 'hannah', 'to', 'be', 'my', 'given', 'up', 'greed', 'and', 'avarice', 'giza', 'barerra', 'glanton', 'glass', 'eye', 'glass', 'jars', 'glass', 'menagerie', 'glass', 'shard', 'glass', 'shards', 'in', 'ice', 'glasses', 'elise', 's', 'glastnost', 'files', 'glen', 'carter', 'glen', 'is', 'a', 'licentious', 'cur', 'glenforest', 'lodge', 'glenn', 'carter', 'glitter', 'global', 'food', 'crisis', 'global', 'smuggling', 'global', 'systems', 'imports', 'global', 'warming', 'globalism', 'glorified', 'serial', 'killer', 'you', 're', 'a', 'glory', 'of', 'york', 'glowing', 'bracelets', 'gmos', 'go', 'back', 'go', 'gentle', 'into', 'that', 'good', 'night', 'do', 'not', 'goat', 'skull', 'goats', 'god', 'god', 'there', 'is', 'no', 'god', 'doesn', 't', 'want', 'me', 'and', 'the', 'devil', 'isn', 't', 'finished', 'god', 'family', 'country', 'god', 's', 'work', 'feels', 'like', 'goddaughter', 'godmother', 'fairy', 'goga', 'gold', 'gold', 'bars', 'gold', 'bug', 'golden', 'blood', 'golf', 'golf', 'miniature', 'gonz', 'lez', 'good', 'and', 'evil', 'good', 'and', 'evil', 'cuts', 'through', 'the', 'hearts', 'of', 'all', 'of', 'us', 'line', 'dividing', 'good', 'burgundy', 'good', 'fortune', 'good', 'one', 'good', 'person', 'am', 'i', 'a', '?', 'good', 'samaritan', 'killer', 'good', 'to', 'be', 'wanted', 'good', 'to', 'have', 'friends', 'in', 'low', 'places', 'good', 'to', 'see', 'you', 'again', 'raymond', 'goons', 'goons', 'red', 's', 'gordo', 'dog', 'gordon', 'surname', 'gordon', 'kemp', 'gordon', 'lightfoot', 'gorman', 'gorrell', 'gorrell', 'abducted', 'gothic', 'gougeres', 'gouldsberry', 'government', 'secrets', 'governor', 'richard', 'sweeney', 'governor', 'sweeney', 'gps', 'grace', 'draxton', 'grace', 'talbot', 'graceland', 'graduation', 'photo', 'grafton', 'county', 'grafton', 'wv', 'grand', 'cayman', 'grand', 'jury', 'granddaughter', 'grandfather', 'grandmother', 'grandmother', 'liz', 's', 'grant', 'grapefruit', 'gushie', 'grave', 'grave', 'tom', 's', 'grave', 'digger', 'grave', 'of', 'elizabeth', 'keen', 'grave', 'robbing', 'graves', 'dig', 'two', 'graveside', 'gravestone', 'daniel', 'hutton', 'graveyard', 'grayscape', 'seventeen', 'plans', 'for', 'great', 'team', 'greater', 'good', 'greece', 'greed', 'greed', 'and', 'avarice', 'sworn', 'off', 'green', 'green', 'energy', 'green', 'guy', 'swordfighting', 'green', 'teeth', 'greenbelt', 'maryland', 'greene', 'drugs', 'greenville', 'correctional', 'facility', 'greeting', 'card', 'gregg', 'gregory', 'devry', 'gregory', 'flynn', 'grenade', 'grey', 'grey', 'matters', 'greyson', 'blaise', 'grief', 'grief', 'and', 'anger', 'grieving', 'grieving', 'surge', 'grifter', 'grimm', 'grizzly', 'grizzly', 'bear', 'gromov', 'grotesque', 'groveton', 'grumman', 'llv', 'gruyere', 'cheese', 'puffs', 'guard', 'tower', 'blown', 'up', 'guardian', 'angel', 'guatavita', 'guillermo', 'rizal', 'guillotine', 'guilt', 'by', 'association', 'guilty', 'red', 'pleads', 'guilty', 'plea', 'gulag', 'gulfstream', 'g650', 'gun', 'concealed', 'gun', 'unregistered', 'gun', 'as', 'evidence', 'gun', 'rights', 'gun', 'running', 'gun', 'sales', 'gun', 'smuggling', 'gunfight', 'gunfight', 'at', 'wedding', 'gunfire', 'gunmaker', 'gunrunner', 'guns', 'cheap', 'gunshot', 'gut', 'you', 'like', 'a', 'fish', 'i', 'm', 'gonna', 'gutting', 'gwen', 'gym', 'gymnasium', 'h', 'h', 'k416', 'haberdasher', 'hack', 'hack', 'star', 'hacker', 'hacker', 'ukrainian', 'hackers', 'hacking', 'hacking', 'genetic', 'hacking', 'contest', 'hacking', 'power', 'grid', 'haiku', 'hair', 'dyed', 'brunette', 'hair', 'trigger', 'halawadar', 'halbeck', 'halcyon', 'aegis', 'half', 'sister', 'hallucination', 'hallucinations', 'hallucinations', 'hypnagogic', 'halmi', 'hamid', 'bakhash', 'hammer', 'hammerstone', 'electric', 'hammett', 'hamzah', 'hand', 'grenade', 'hand', 'forged', 'swords', 'handcuffed', 'to', 'car', 'handgun', 'unregistered', 'handguns', 'cheap', 'handler', 'handsome', 'handsome', 'i', 'm', 'sure', 'you', 'were', 'always', 'hanging', 'hannah', 'hannah', 'hayes', 'hannah', 'moshay', 'hannelore', 'hans', 'koehler', 'hans', 'von', 'hauser', 'hansen', 'hanzo', 'chef', 'happy', 'you', 'make', 'her', 'happy', 'families', 'happy', 'family', 'drawing', 'happy', 'thoughts', '?', 'harbormaster', 'harbormaster', 'killed', 'hardekopf', 'harem', 'hargrave', 'harkins', 'museum', 'harness', 'harold', 'harold', 'cooper', 'harold', 'cooper', 'young', 'harold', 'cooper', 'backstory', 'harold', 'cooper', 's', 'backstory', 'harold', 'cooper', 's', 'father', 'harrington', 'ny', 'harris', 'gentry', 'harris', 'pa', 'harris', 'van', 'ness', 'hartmans', 'hartswicks', 'cigars', 'harvard', 'harvard', 'turned', 'down', 'hasaan', 'hashish', 'hassan', 'arkani', 'hastings', 'hat', 'churchill', 's', 'hat', 'homburg', 'hat', 'winston', 'churchill', 's', 'hat', 'on', 'my', 'head', 'only', 'thing', 'you', 'left', 'me', 'hatchet', 'hatchet', 'murder', 'hate', 'crime', 'hate', 'to', 'love', 'hatley', 'hauser', 'von', 'havana', 'cuba', 'have', 'you', 'ever', 'killed', 'anyone', '?', 'haverkamp', 'havershim', 'hardware', 'having', 'children', 'havoc', 'hawala', 'hawaladar', 'hawkins', 'hawthorne', 'biologics', 'hayes', 'hayworth', 'hazardous', 'materials', 'hazmat', 'hazmat', 'suit', 'he', 'devoted', 'half', 'his', 'life', 'to', 'me', 'he', 'didn', 't', 'miss', 'he', 'died', '30', 'years', 'ago', 'he', 'does', 'do', 'a', 'lot', 'of', 'good', 'he', 'doesn', 't', 'own', 'her']"
