word,sent
barking cat,"['a', 'barking', 'dog', 'activity', 'apps', 'a', 'dog', 'barking', 'animals', 'sounds', 'app', 'developing', 'appdog', 'apps', 'for', 'android', 'barking', 'dog', 'barking', 'dog', 'sound', 'barking', 'dog', 'sounds', 'big', 'dog', 'barking', 'cat', 'sound', 'cool', 'fun', 'apps', 'dog', 'barking', 'noise', 'dog', 'barking', 'sound', 'dog', 'barking', 'sound', 'effects', 'dog', 'barking', 'sounds', 'dog', 'barks', 'dog', 'bark', 'sound', 'dog', 'bark', 'sounds', 'dog', 'noises', 'dog', 'puppy', 'dog', 'dogs', 'barking', 'dogs', 'barking', 'sound', 'dogs', 'barking', 'sounds', 'dog', 'sound', 'dog', 'sound', 'effects', 'dog', 'sounds', 'dogsounds', 'dogs', 'sounds', 'find', 'sounds', 'fun', 'apps', 'most', 'fun', 'apps', 'nature', 'sounds', 'new', 'fun', 'apps', 'puppy', 'app', 'puppy', 'barking', 'sound', 'puppy', 'noises', 'puppy', 'sounds', 'puppy', 'whining', 'sounddogs', 'sound', 'of', 'dog', 'barking', 'sounds', 'app', 'sounds', 'for', 'dogs', 'sounds', 'of', 'dogs', 'barking']"
lace curtain,"['12m', 'crystal', 'ball', 'tassel', 'lace', 'curtain', 'trimmings', 'fringes', 'hanging', 'trim', 'sofa', 'curtains', 'accessories', 'decor', 'curtain', 'decorative', 'accessories']"
devry,"['devry', 'inc', '5']"
half breed,"['leviathan', 'legend', 'of', 'the', 'half', 'breed', 'and', 'the', 'socerer', 's', 'sphere']"
half breed,"['leviathan', 'legend', 'of', 'the', 'half', 'breed', 'and', 'the', 'socerer', 's', 'sphere', '319']"
half breed,"['leviathan', 'legend', 'of', 'the', 'half', 'breed', 'and', 'the', 'socerer', 's', 'sphere']"
half breed,"['among', 'the', 'best', 'selling', 'collections', 'from', 'leviathan', 'are', 'the', 'legend', 'of', 'the', 'half', 'breed', 'and', 'the', 'socerer', 's', 'sphere', 'casual', 'pants', 'and', 'synthetic', 'down', 'jackets']"
kunta,"['no', 'more', 'fake', 'stories', 'kunta']"
half breed,"['what', 'follows', 'is', 'a', 'look', 'at', 'the', 'life', 'of', 'a', 'spy', 'who', 'is', 'also', 'by', 'vietnamese', 'culture', 'a', 'half', 'breed', 'his', 'mother', 'was', 'a', 'poor', 'vietnamese', 'woman', 'his', 'father', 'a', 'frenchman']"
cissy,"['cissy', 'jose', 'april', '7', '2013', 'at', '3', '49', 'am']"
peg boy,"['peg', 'boy']"
peg boy,"['peg', 'boy']"
hearing aid,"['zinc', 'energy', 'storage', 'has', 'been', 'around', 'forever', 'every', 'button', 'cell', 'in', 'a', 'hearing', 'aid', 'uses', 'it', 'said', 'scharnhorst', 'in', 'an', 'interview', 'but', 'also', 'mentioned', 'that', 're', 'chargeability', 'was', 'the', 'challenge', 'an', 'issue', 'that', 'fluidic', 'has', 'remarkably', 'overcome']"
stump jumper,"['stump', 'jumper', 'backed', 'with', 'a']"
stump jumper,"['1', 'x', '4', '1/2', 'thick', 'blade', 'mounting', 'bar', 'heavy', 'round', 'stump', 'jumper', 'for', 'protecting', 'the', 'gearbox', 'seal', 'and', 'gearbox', 'output', 'shaft']"
stump jumper,"['stump', 'jumper', '/', 'blade', 'holder', '10', 'gauge', 'round', 'dish', 'shaped', 'pan', 'reinforced', 'with', '1', 'x', '4', '1/2', 'blade', 'mounting', 'bar']"
care bear,"['okay', 'this', 'is', 'now', 'better', 'than', 'the', 'care', 'bear', 'forums']"
hearing aid,"['hearing', 'aid', 'wholesaler', 'in', 'india', 'retailers', 'choice', 'for', 'india', 's', 'cheapest', 'hearing', 'aid']"
hearing aid,"['bte', 'hearing', 'aid']"
hearing aid,"['cic', 'hearing', 'aid']"
hearing aid,"['itc', 'hearing', 'aid']"
hearing aid,"['ite', 'hearing', 'aid']"
hearing aid,"['iic', 'hearing', 'aid']"
hearing aid,"['ric', 'hearing', 'aid']"
hearing aid,"['hearing', 'aid', 'components']"
hearing aid,"['bte', 'hearing', 'aid', '173']"
hearing aid,"['cic', 'hearing', 'aid', '82']"
hearing aid,"['hearing', 'aid', '4']"
hearing aid,"['hearing', 'aid', 'batteries', '4']"
hearing aid,"['hearing', 'aid', 'components', '12']"
hearing aid,"['iic', 'hearing', 'aid', '17']"
hearing aid,"['itc', 'hearing', 'aid', '56']"
hearing aid,"['ite', 'hearing', 'aid', '7']"
hearing aid,"['rie', '/', 'ric', 'hearing', 'aid', '136']"
hearing aid,"['nik', 'agencies', 'is', 'a', 'well', 'renowned', 'company', 'amongst', 'retailers', 'and', 'wholesalers', 'in', 'the', 'hearing', 'aid', 'industry']"
hearing aid,"['most', 'of', 'our', 'products', 'are', 'available', 'in', 'hearing', 'aid', 'centres', 'in', 'chennai', 'hyderabad', 'bangalore', 'cochin', 'coimbatore', 'and', 'many', 'more']"
hearing aid,"['hearing', 'aid', 'batteries']"
hearing aid,"['hearing', 'aid', 'components']"
tojo,"['tojo', 'thatchenkery', 'ph']"
tojo,"['tojo', 'thatchenkery', 'books']"
tojo,"['tojo', 'thatchenkery', 'ph']"
tojo,"['tojo', 'thatchenkery', 'books']"
hearing aid,"['i', 'was', 'stunned', 'and', 'shocked', 'and', 'we', 'talked', 'again', 'about', 'the', 'cause', 'and', 'he', 'said', 'that', 'the', 'impact', 'of', 'what', 'happened', 'to', 'me', 'as', 'a', 'child', 'would', 'have', 'caused', 'this', 'the', 'repeated', 'whacks', 'round', 'the', 'head', 'when', 'she', 'lost', 'it', 'have', 'caused', 'me', 'to', 'have', 'a', 'hearing', 'aid', 'live', 'a', 'difficult', 'life', 'and', 'you', 'know', 'what']"
hearing aid,"['i', 'walked', 'across', 'the', 'road', 'like', 'i', 'was', 'in', 'another', 'world', 'shock', 'i', 'rang', 'a', 'friend', 'who', 'tried', 'to', 'say', 'oh', 'well', 'at', 'least', 'they', 'have', 'nice', 'hearing', 'aids', 'these', 'days', 'why', 'do', 'people', 'do', 'that', 'try', 'and', 'smooth', 'it', 'over', 'i', 'felt', 'really', 'angry', 'and', 'said', 'that', 'is', 'not', 'the', 'point', 'i', 'have', 'just', 'been', 'told', 'i', 'am', 'having', 'to', 'have', 'a', 'hearing', 'aid', 'because', 'of', 'the', 'slaps', 'around', 'my', 'head', 'from', 'my', 'step', 'mother', 'bloody', 'hell']"
schwartze,"['readers', 'rite', 'zim', 'schwartze', 'for', 'mayor', 'grant', 'elementary', 'montessori', 'fred', 'schmidt', 'recall', 'chb', 'home']"
schwartze,"['readers', 'rite', 'zim', 'schwartze', 'for', 'mayor', 'grant', 'elementary', 'montessori', 'fred', 'schmidt', 'recall']"
schwartze,"['meanwhile', 'if', 'you', 'had', 'zim', 'schwartze', 'for', 'mayor', 'you', 'would', 'have', 'a', 'strong', 'mayor', 'on', 'the', 'crime', 'issues', 'that', 'plague', 'columbia', 'and', 'for', 'sure', 'not', 'somebody', 'in', 'the', 'developers', 'back', 'pockets']"
schwartze,"['you', 'are', 'here', 'home', 'op', 'ed', 'readers', 'rite', 'zim', 'schwartze', 'for', 'mayor', 'grant', 'elementary', 'montessori', 'fred', 'schmidt', 'recall']"
devry,"['devry', 'inc', '5']"
hearing aid,"['availability', 'of', 'hearing', 'aid', 'batteries', 'in', 'bridgwater', 'you', 'said', 'we', 'did', 'may', '2016']"
hearing aid,"['a', 'request', 'for', 'action', 'was', 'raised', 'regarding', 'the', 'availability', 'of', 'hearing', 'aid', 'batteries', 'in', 'the', 'bridgwater', 'area']"
hearing aid,"['hearing', 'aid', 'brands']"
hearing aid,"['hearing', 'aid', 'fitting']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['he', 'was', 'refusing', 'to', 'use', 'his', 'hearing', 'aid', 'from', 'a', 'previous', 'audiologist', 'but', 'she', 'fit', 'him', 'with', 'a', 'state', 'of', 'the', 'art', 'in', 'canal', 'device', 'that', 'is', 'comfortable', 'and', 'does', 'the', 'job', 'perfectly']"
hearing aid,"['now', 'he', 'wears', 'his', 'hearing', 'aid', 'and', 'we', 'don', 't', 'have', 'to', 'yell', 'anymore', '!']"
hearing aid,"['hearing', 'aid', 'brands']"
hearing aid,"['hearing', 'aid', 'fitting']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['boscov', 's', 'hearing', 'aid', 'center']"
hearing aid,"['boscov', 's', 'hearing', 'aid', 'center']"
wedo,"['lego', 'education', 'wedo', '2']"
wedo,"['lego', 'education', 'wedo', '2']"
sassenach,"['suddenly', 'she', 'is', 'a', 'sassenach', 'an', 'outlander', 'in', 'a', 'scotland', 'torn', 'by', 'war', 'and', 'raiding', 'border', 'clans', 'in', 'the', 'year', 'of', 'our', 'lord']"
hearing aid,"['hearing', 'aid', '1']"
hearing aid,"['hearing', 'aid', 'center', 'thiruvalla']"
baby killer,"['tozer', 'abc', 'abc', 'news', 'abeokuta', 'abercrombie', 'fitch', 'abigail', 'abortifacient', 'abortion', 'abortion', 'clinic', 'abortion', 'debate', 'abraham', 'absalom', 'abstinence', 'academy', 'award', 'accomplishments', 'accountability', 'accuracy', 'and', 'precision', 'achan', 'acorn', 'acting', 'action', 'actions', 'active', 'acts', 'of', 'the', 'apostles', 'ad', 'adam', 'adam', 'and', 'eve', 'adam4d', 'adblock', 'plus', 'adobe', 'photoshop', 'adolf', 'hitler', 'adoption', 'ads', 'adult', 'adultery', 'adults', 'advertising', 'adwords', 'affair', 'affiliate', 'affiliates', 'afghanistan', 'africa', 'agape', 'age', 'agnosticism', 'ai', 'air', 'bags', 'air', 'force', 'airbag', 'airplane', 'ajax', 'akin', 'alan', 'west', 'alaska', 'albert', 'mohler', 'alberto', 'contador', 'alcohol', 'alexa', 'alexandria', 'alfred', 'all', 'men', 'are', 'created', 'equal', 'all', 'nations', 'alliances', 'allowance', 'ally', 'almighty', 'dollar', 'alone', 'alpha', 'mom', 'alterations', 'amalek', 'amaziah', 'amazing', 'grace', 'amazon', 'amazon', 'kindle', 'ambidextrous', 'ambiguity', 'amendment', 'america', 'american', 'baptist', 'churches', 'usa', 'american', 'bible', 'society', 'american', 'broadcasting', 'company', 'american', 'express', 'american', 'family', 'radio', 'american', 'free', 'press', 'american', 'humanist', 'association', 'american', 'idol', 'american', 'red', 'cross', 'american', 'revolution', 'american', 'revolutionary', 'war', 'americans', 'amphibious', 'amy', 'adams', 'ananias', 'andrew', 'fields', 'anfield', 'angels', 'anger', 'angle', 'animal', 'protection', 'and', 'rescue', 'league', 'ann', 'althouse', 'ann', 'coulter', 'anniversary', 'announcement', 'anon', 'answers', 'answers', 'in', 'genesis', 'anthem', 'lights', 'anthony', 'kennedy', 'anti', 'catholicism', 'anti', 'christ', 'anti', 'christian', 'sentiment', 'anti', 'nuclear', 'movement', 'antioch', 'baptist', 'church', 'shreveport', 'antonin', 'scalia', 'ap', 'united', 'states', 'history', 'apollos', 'apologetics', 'apology', 'apostle', 'christian', 'apostle', 'latter', 'day', 'saints', 'apostle', 'paul', 'appeal', 'to', 'probability', 'appealing', 'apple', 'appreciate', 'aquila', 'archbishop', 'of', 'canterbury', 'argentina', 'argument', 'argument', 'from', 'authority', 'arguments', 'arizona', 'daily', 'star', 'ark', 'of', 'the', 'covenant', 'artaxerxes', 'i', 'of', 'persia', 'artificial', 'insemination', 'artificial', 'intelligence', 'asa', 'ascension', 'of', 'jesus', 'ashkenazi', 'jews', 'asia', 'aslan', 'assange', 'assemblies', 'of', 'god', 'asset', 'allocation', 'assisted', 'suicide', 'associated', 'press', 'association', 'of', 'professional', 'flight', 'attendants', 'assurance', 'atheism', 'atheist', 'athens', 'atlantic', 'ocean', 'atonement', 'in', 'christianity', 'attack', 'attacks', 'attendance', 'attention', 'attorney', 'general', 'attracted', 'attraction', 'attractive', 'auction', 'austerity', 'australia', 'authority', 'authorized', 'king', 'james', 'version', 'auto', 'avengers', 'average', 'awana', 'award', 'awareness', 'azariah', 'babcock', 'wilcox', 'babies', 'baby', 'baby', 'announcement', 'baby', 'killer', 'baby', 'parts', 'babylon', 'bee', 'babylonian', 'captivity', 'babysitter', 'bachmann', 'back', 'to', 'the', 'future', 'back', 'alley', 'bad', 'bailout', 'bailouts', 'balance', 'transfer', 'baldwin', 'banana', 'bandwagon', 'banking', 'banks', 'baptism', 'baptism', 'with', 'the', 'holy', 'spirit', 'baptist', 'press', 'baptists', 'bar', 'barack', 'obama', 'barbara', 'boxer', 'barbecue', 'barbie', 'bart', 'd']"
devry,"['libeigen2', 'devry']"
lace curtain,"['cotton', 'lace', 'curtain', 'panels', 'with', 'scalloped', 'hem']"
kunta,"['tiedolla', 'johtaminen', 'kunta', 'kentay']"
tojo,"['tojo', 'hochstapler', 'preisoep']"
cissy,"['deboxed', 'fashions', 'cissy']"
cissy,"['nude', 'cissy', 'lavenesque', '21', '179']"
cissy,"['nude', 'cissy', 'peachtree', 'promenade', '21', '199']"
cissy,"['nude', 'cissy', 'scarlett', 'at', 'the', 'mill', '21', '189']"
cissy,"['nude', 'cissy', 'scarlett', 'visits', 'the', 'mill', '21', '189']"
wedo,['wedo']
devry,"['paul', 'rish', 'has', 'been', 'navigating', 'the', 'information', 'technology', 'world', 'since', '2003', 'when', 'he', 'founded', 'his', 'consulting', 'firm', 'rish', 'telecommunications', 'only', 'a', 'few', 'months', 'after', 'graduating', 'from', 'devry', 'university', 'with', 'his', 'bachelor', 'of', 'science', 'in', 'information', 'technology']"
kunta,"['kunta', 'bear']"
hearing aid,"['hearing', 'aid', 'reviews']"
hearing aid,"['in', 'spite', 'of', 'the', 'many', 'advancements', 'in', 'hearing', 'aid', 'and', 'cochlear', 'implant', 'technology', 'people', 'with', 'hearing', 'loss', 'still', 'encounter', 'many', 'challenges', 'in', 'noisy', 'restaurants', 'meetings', 'and', 'other', 'large', 'social', 'gatherings']"
hearing aid,"['hearing', 'aid', 'research', 'multibeam', 'microphone', 'technology']"
hearing aid,"['advanced', 'bionics', 'cochlear', 'implants', 'directionality', 'hearing', 'aid', 'hearing', 'aid', 'fitting', 'hearing', 'aid', 'technologies', 'hearing', 'aids', 'phonak']"
coffee enema,"['how', 'did', 'you', 'prep', 'the', 'coffee', 'enema', '?', 'do', 'you', 'grind', 'then', 'pour', 'water', 'over', 'the', 'coffee', '?']"
coffee enema,"['most', 'of', 'the', 'time', 'the', 'test', 'come', 'up', 'negative', 'try', 'fasting', 'for', 'a', 'day', 'w/', 'coffee', 'enema', 'a', 'parasite', 'cleanse']"
coffee enema,"['coffee', 'enema', 'with', '30', 'to', '60', 'drops', 'of', 'eucalyptus', 'essential', 'oil', 'hold', '15', 'minutes', 'or', 'more', 'so', 'eucalyptus', 'can', 'be', 'delivered', 'to', 'the', 'liver']"
coffee enema,"['adding', 'tangerine', 'essential', 'oil', 'to', 'the', 'coffee', 'enema', 'increases', 'the', 'effect', 'of', 'the', 'coffees', 'ability', 'to', 'flush', 'the', 'liver', '!', '!']"
coffee enema,"['i', 'recently', 'started', 'coffee', 'enema', 'for', 'myself', 'and', 'do', 'see', 'this', 'horrible', 'creatures', 'so', 'i', 'now', 'am', 'super', 'worried', 'he', 'has', 'them', 'as', 'well', 'i', 'would', 'imagine', 'from', 'birth', '?', 'or', 'from', 'everyday', 'life', 'closiness', 'you', 'know', 'and', 'have', 'no', 'idea', 'what', 'to', 'do', 'can', 'not', 'imagine', 'doing', 'enema', 'for', 'a', 'kid']"
coffee enema,"['can', 'u', 'make', 'a', 'coffee', 'enema', 'or', 'do', 'u', 'have', 'to', 'buy', 'it']"
coffee enema,"['i', 'haven', 't', 'tried', 'the', 'coffee', 'enema', 'yet']"
coffee enema,"['recently', 'i', 'tried', 'a', 'coffee', 'enema', 'and', 'discovered', 'the', 'black', 'specks', 'were', 'in', 'my', 'stool', 'along', 'with', 'other', 'scary', 'creatures', 'such', 'as', 'rope', 'worms', 'and', 'other', 'types', 'of', 'worms']"
coffee enema,"['i', 'did', 'a', 'coffee', 'enema', 'last', 'night', 'added', 'pink', 'salt']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['hearing', 'aid']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['hearing', 'aid', 'evaluation']"
hearing aid,"['hearing', 'aid', 'fitting']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['hearing', 'aid', 'styles']"
hearing aid,"['hearing', 'aid', 'batteries']"
hearing aid,"['hearing', 'aid', 'evaluation']"
hearing aid,"['hearing', 'aid', 'fitting']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['hearing', 'aid', 'styles']"
hearing aid,"['hearing', 'aid', 'batteries']"
hearing aid,"['hearing', 'aid', 'repair']"
hearing aid,"['the', 'average', 'hearing', 'aid', 'user', 'will', 'replace', 'their', 'instruments', 'every', '4', '5', 'years']"
hearing aid,"['as', 'processors', 'become', 'smaller', 'and', 'faster', 'improvements', 'in', 'hearing', 'aid', 'technology', 'improve', 'as', 'well']"
hearing aid,"['every', 'attempt', 'will', 'be', 'made', 'to', 'repair', 'and', 'verify', 'the', 'function', 'of', 'the', 'hearing', 'aid', 'before', 'having', 'it', 'serviced', 'at', 'the', 'factory']"
hearing aid,"['if', 'it', 'needs', 'to', 'be', 'repaired', 'a', 'loaner', 'hearing', 'aid', 'will', 'be', 'offered']"
hearing aid,"['each', 'hearing', 'aid', 'repair', 'includes', 'a', '6', 'or', '12', 'month', 'warranty']"
hearing aid,"['a', 'new', 'hearing', 'aid', 'comes', 'with', 'a', 'one', 'to', 'three', 'year', 'manufacturers', 'warranty', 'against', 'repairs', 'for', 'normal', 'use', 'and', 'a', 'one', 'to', 'three', 'year', 'one', 'time', 'replacement', 'loss', 'and', 'damage', 'protection', 'plan']"
hearing aid,"['additional', 'coverage', 'beyond', 'the', 'original', 'repair', 'warranty', 'is', 'available', 'either', 'through', 'the', 'manufacturer', 'or', 'through', 'an', 'independent', 'hearing', 'aid', 'coverage', 'company']"
hearing aid,"['make', 'informed', 'decisions', 'on', 'the', 'purchase', 'of', 'your', 'next', 'hearing', 'aid', 'device', '!']"
hearing aid,"['voted', 'best', 'hearing', 'aid', 'office']"
hearing aid,"['voted', 'best', 'hearing', 'aid', 'office', 'in', 'solano', 'county', '5', 'years', 'running', '!']"
hearing aid,"['hearing', 'aid', 'batteries']"
barking cat,"['we', 'had', 'arranged', 'to', 'watch', 'two', 'episodes', 'the', 'barking', 'cat', 'and', 'the', 'toastmaster', 'to', 'help', 'unlock', 'memories', 'which', 'had', 'been', 'disabled', 'by', 'synapses', 'which', 'had', 'stopped', 'firing', 'a', 'long', 'long', 'time', 'ago']"
barking cat,"['the', 'barking', 'cat']"
barking cat,"['today', 's', 'story', 'is', 'about', 'blossom', 'the', 'barking', 'cat', '!', 'mrs', 'honey', 'takes', 'blossom', 'to', 'an', 'animal', 'impersonator', 'the', 'outcome', 'of', 'which', 'has', 'unfortunate', 'consequences']"
kunta,['kunta']
hearing aid,"['angioplasty', 'procedure', 'ankle', 'replacement', 'appendix', 'surgery', 'arm', 'surgery', 'arthroscopic', 'knee', 'surgery', 'arthroscopic', 'shoulder', 'surgery', 'artificial', 'eye', 'bariatric', 'surgery', 'biliary', 'stent', 'bone', 'anchored', 'hearing', 'aid', 'breast', 'reconstruction', 'after', 'mastectomy', 'brow', 'lift', 'surgery', 'bunionectomy', 'cardiac', 'catheterization', 'cardiac', 'stent', 'carpal', 'tunnel', 'surgery', 'cataract', 'cochlear', 'implant', 'colonoscopy', 'corneal', 'transplant', 'coronary', 'bypass', 'surgery', 'ct', 'scan', 'deep', 'brain', 'stimulation', 'defibrillator', 'disc', 'replacement', 'surgery', 'diskectomy', 'ear', 'tube', 'surgery', 'echo', 'ekg', 'elbow', 'replacement', 'endoscopy', 'essure', 'birth', 'control', 'eye', 'shunt', 'finger', 'surgery', 'foot', 'repair', 'surgery', 'gastroenterostomy', 'hammertoe', 'correction', 'heart', 'assist', 'device', 'heart', 'valve', 'surgery', 'hernia', 'repair', 'surgery', 'hip', 'fusion', 'hip', 'repair', 'hip', 'replacement', 'knee', 'replacement', 'surgery', 'kyphoplasty', 'laparoscopic', 'hysterectomy', 'laparoscopy', 'cholecystectomy', 'gallbladder', 'removal', 'lithotripsy', 'kidney', 'stone', 'removal', 'mammogram', 'maxillofacial', 'surgery', 'middle', 'ear', 'surgery', 'mra', 'mri', 'obstructive', 'sleep', 'apnea', 'surgery', 'pacemaker', 'pelvic', 'floor', 'repair', 'penile', 'prosthesis', 'surgery', 'pet', 'scan', 'prolapse', 'repair', 'reflux', 'surgery', 'septoplasty', 'surgery', 'shoulder', 'replacement', 'sleep', 'study', 'spinal', 'cord', 'stimulator', 'spinal', 'fusion', 'spinal', 'instrumentation', 'stress', 'test', 'testicular', 'prosthesis', 'tonsil', 'removal', 'ultrasound', 'urinary', 'incontinence', 'treatment', 'urinary', 'stent', 'uterine', 'ablation', 'vaginal', 'prosthesis', 'implantation', 'vagus', 'nerve', 'stimulation', 'vertebroplasty', 'vocal', 'cord', 'dysfunction', 'treatment', 'wrist', 'replacement', 'wrist', 'surgery', 'x', 'ray']"
hearing aid,"['angioplasty', 'procedure', 'ankle', 'replacement', 'appendix', 'surgery', 'arm', 'surgery', 'arthroscopic', 'knee', 'surgery', 'arthroscopic', 'shoulder', 'surgery', 'artificial', 'eye', 'bariatric', 'surgery', 'biliary', 'stent', 'bone', 'anchored', 'hearing', 'aid', 'breast', 'reconstruction', 'after', 'mastectomy', 'brow', 'lift', 'surgery', 'bunionectomy', 'cardiac', 'catheterization', 'cardiac', 'stent', 'carpal', 'tunnel', 'surgery', 'cataract', 'cochlear', 'implant', 'colonoscopy', 'corneal', 'transplant', 'coronary', 'bypass', 'surgery', 'ct', 'scan', 'deep', 'brain', 'stimulation', 'defibrillator', 'disc', 'replacement', 'surgery', 'diskectomy', 'ear', 'tube', 'surgery', 'echo', 'ekg', 'elbow', 'replacement', 'endoscopy', 'essure', 'birth', 'control', 'eye', 'shunt', 'finger', 'surgery', 'foot', 'repair', 'surgery', 'gastroenterostomy', 'hammertoe', 'correction', 'heart', 'assist', 'device', 'heart', 'valve', 'surgery', 'hernia', 'repair', 'surgery', 'hip', 'fusion', 'hip', 'repair', 'hip', 'replacement', 'knee', 'replacement', 'surgery', 'kyphoplasty', 'laparoscopic', 'hysterectomy', 'laparoscopy', 'cholecystectomy', 'gallbladder', 'removal', 'lithotripsy', 'kidney', 'stone', 'removal', 'mammogram', 'maxillofacial', 'surgery', 'middle', 'ear', 'surgery', 'mra', 'mri', 'obstructive', 'sleep', 'apnea', 'surgery', 'pacemaker', 'pelvic', 'floor', 'repair', 'penile', 'prosthesis', 'surgery', 'pet', 'scan', 'prolapse', 'repair', 'reflux', 'surgery', 'septoplasty', 'surgery', 'shoulder', 'replacement', 'sleep', 'study', 'spinal', 'cord', 'stimulator', 'spinal', 'fusion', 'spinal', 'instrumentation', 'stress', 'test', 'testicular', 'prosthesis', 'tonsil', 'removal', 'ultrasound', 'urinary', 'incontinence', 'treatment', 'urinary', 'stent', 'uterine', 'ablation', 'vaginal', 'prosthesis', 'implantation', 'vagus', 'nerve', 'stimulation', 'vertebroplasty', 'vocal', 'cord', 'dysfunction', 'treatment', 'wrist', 'replacement', 'wrist', 'surgery', 'x', 'ray']"
hearing aid,"['hearing', 'aid', 'batteries']"
hearing aid,"['hearing', 'aid', 'batteries']"
chancho,"['carnitas', 'tortilla', 'heaven', 'at', 'chancho', 'hello', 'blog', 'world', '!', 'it', 's', 'been', 'a', 'while']"
tojo,"['tojo', 's', 'restaurant', '6', 'course', 'omakase', 'for', '120', 'i', 've', 'already', 'reviewed', 'tojo', 's', 'previously', 'link', 'here', 'but', 'it', 's', 'been', 'a', 'few', 'years', 'since', 'then', 'so', 'i', 'll', 'just', 'keep', 'it', 'brief', 'with', 'a', 'simple', 'photo', 'gallery', 'descriptio']"
hearing aid,"['and', '90', 'percent', 'of', 'those', '300', 'million', 'people', 'cannot', 'even', 'afford', 'a', 'hearing', 'aid']"
deadmonton,"['oct', '12', 'halloween', 'hearse', 'show', 'shine', 'noon', '5pm', 'presented', 'by', 'deadmonton', 'the', 'bonewagon', 'association']"
hearing aid,"['aids', 'audiologist', 'audiology', 'bettendorf', 'breast', 'cancer', 'breast', 'cancer', 'support', 'breast', 'cancer', 'support', 'group', 'cancer', 'support', 'group', 'ccc', 'cfsp', 'child', 'abuse', 'council', 'clu', 'chfc', 'davenport', 'davenport', 'ia', 'davenport', 'iowa', 'diabetes', 'self', 'management', 'diabetes', 'support', 'group', 'dolan', 'genesis', 'medical', 'center', 'grief', 'support', 'group', 'group', 'genesis', 'hearing', 'aid', 'hearing', 'aids', 'hearing', 'loss', 'hutter', 'independent', 'insurance', 'informational', 'seminars', 'iowa', 'state', 'university', 'jerry', 'schroeder', 'kimberly', 'road', 'mcpike', 'molly', 'parker', 'nash', 'pat', 'conway', 'quad', 'cities', 'schillig', 'seniors', 'social', 'security', 'social', 'security', 'benefits', 'social', 'security', 'office', 'street', 'davenport', 'street', 'moline', 'utica', 'ridge', 'road', 'weerts', 'funeral', 'home', 'www', 'socialsecurity', 'gov']"
hearing aid,"['hearing', 'aid', 'compatible', 'mobile', 'handsets', '3']"
hearing aid,"['hearing', 'aid', 'compatibility', 'rules', '2']"
hearing aid,"['hearing', 'aid', 'compatibility', '2']"
hearing aid,"['hearing', 'aid', 'compatibility', 'hac', 'rule', '1']"
hearing aid,"['hearing', 'aid', 'compatible', 'handset', 'rules', '1']"
hearing aid,"['wireless', 'hearing', 'aid', 'compatibility', '1']"
hearing aid,"['hearing', 'aid', 'compatability', '1']"
